Question,RightAnswer,Answer_1,Answer_2,Answer_3,Explain,Meaning
（　　　）、えいがをみにいきませんか？,あした,ゆうべ,きのう,おととい,"あしたえいがをみにいきませんか？" : Would you like to go see the movie tomorrow?, "えいがをみにいきませんか？" : Would you like to go see a movie? | "あした" : tomorrow | "きのう" : yesterday | "おととい" : Day before yesterday

わたしはいつも（　　　）をききながらべんきょうします。,ラジオ,ぺん,テーブル,ストーブ,"わたしはいつもラジオをききながらべんきょうします。" : I always listen to the radio while studying., "わたしはいつも（　　　）をききながらべんきょうします。" : I always listen to (　　　) while studying.|"ぺん" : Pen|"ラジオ" : Radio|"テーブル":Table|"ストーブ" : Stove

わたしのすきなのみものは（　　　）です。,こうちゃ,おかし,みかん,ねこ,"わたしのすきなのみものは（こうちゃ）です。":My favorite drink is black tea.,"わたしのすきなのみものは（　　　）です":My favorite drink is (　　　)|"おかし":Sweets|"こうちゃ":black tea|"みかん":mandarin orange|"ねこ":cat

わたしはじてんしゃを（　　　）もっています。,にだい,にさつ,にほん,にまい,"わたしはじてんしゃをにだいもっています。" :I have a bicycle.,

この（　　　）じしょはだれのですか？,ちいさい,みじかい,まるい,ほそい,"このちいさいじしょはだれのですか？" : Who owns this small dictionary?,

ちちはことし80さいですが、（　　　）です,げんき,けっこう,ざんねん,かんたん,"ちちはことし80さいですが、げんきです": My father is 80 years old this year. But he is in good health.,

あめがふっています。みんなかさを（　　　）います。,さして,あけて,あげて,つけて,"あめがふっています。みんなかさをさしています。" : It's raining. Everyone points to their umbrellas.,

がくせいたちはきょうしつでやまだせんせいににほんごを（　　　）います。,ならって,つくって,おぼえて,べんきょうして,"がくせいたちはきょうしつでやまだせんせいににほんごをならっています" :The students are learning Japanese from Yamada Sensei at school.,

やまださんはあかいぼうしを（　　　）います。,かぶって,きて,しめて,はいって,"やまださんはあかいぼうしをかぶっています" : Mr. Yamada is wearing a red hat.,

やまださんはたいていおふろにはいって、（　　　）ねます,すぐに,ちょうど,まだ,だんだん,"やまださんはたいていおふろにはいって、すぐにねます" : Mr. Yamada usually takes a bath and falls asleep right away.,

なのかのつぎは（　　　）です。,ようか,とおか,むいか,よっか,"なのかのつぎはようかです。" :Next up after Nanaka is Yoka.,

わたしはゆうべともだちに（　　　）をかきました。,てがみ,ふうとう,きって,でんわ,"わたしはゆうべともだちにてがみをかきました。" : I wrote a letter to my Yube friend.,

わたしのすきなスポーツは（　　　）です。,スキー,ピアノ,レコード,テーブル,"わたしのすきなスポーツはスキーです。" : My favorite sport is skiing.,

わたしのうちにねこが（　　　）います。,にひき,ふたつ,ふたり,にだい,"わたしのうちにねこがにひきいます。" : A cat is attracted to me.,

このみちは（　　　）です。,せまい,わかい,うすい,おもい,"このみちはせまいです。" : This road is narrow.,

さかながかわを（　　　）います。,およいで,はしって,あるいて,とんで,"さかながかわをおよいでいます。" : Fish are swimming in the river.,

きのうのパーテイーでやまださんに（　　　）あいました。,はじめて,はじめ,はじめの,はじめから,"きのうのパーテイーでやまださんにはじめてあいました。" : I met Mr. Yamada for the first time at a party yesterday.,

たなかさんはきょうはあおいズボンを（　　　）います。,はいて,かぶって,きて,かけて,"たなかさんはきょうはあおいズボンをはいています。" :Tanaka is wearing blue pants today.,

えきででんしゃに（　　　）ます。,のり,とり,すわり,のぼり,"えきででんしゃにのります" : Ride on the electric train,

まちださんはせが（　　　）です。,たかい,とおい,ながい,おもい,"まちださんはせがたかいです。" :Machida-san is very busy.,

わたしはよるねるまえにはを（　　　）。,みがきます,あらいます,つかいます,あびます,"わたしはよるねるまえにはをみがきます 。" : I brush my hair before bed.,

つぎのかどをみぎに（　　　）。,まがります,わたります,のぼります,とまります,"つぎのかどをみぎにまがります。" : Turn right at the next corner.,

わたしのいえはえきのちかくです。とても（　　　）です。,べんり,ひま,じょうず,いろいろ,"わたしのいえはえきのちかくですとてもべんりです。" : My house is near the station.So it's very convenient.,

かぜを（　　　）、かいしゃをやすみました。,ひいて,やって,なって,ふいて,"かぜをひいて、かいしゃをやすみました" : I caught a cold and took time off work.",

まいつきほんを（　　　）よみます。,さんさつ,さんだい,さんぼん,さんまい,"まいつきほんをさんさつよみます" :I will read a book every month,

きのう（　　　）にほんのえいがをみました,はじめて,どきどき,もちろん,はじめに,"きのうはじめてにほんのえいがをみました" : I saw a picture for the first time yesterday.,

きのうかぞくのしゃしんを（　　　）。,とりました,つくりました,かきました,しました,"きのうかぞくのしゃしんをとりました。" : I took the picture of yesterday's home.,

（　　　）をしめてかいしゃへいきます,ネクタイ,セーター,シャツ,ズボン,"ネクタイをしめてかいしゃへいきます" : I put on my tie and go to work.,

たなかさんはべんきょうをして、（　　　）いしゃになりました。,りっぱな,きれいな,まっすぐな,だいじょうぶな,"たなかさんはべんきょうをして、りっぱないしゃになりました。" : Tanaka studied and became a great teacher.,"kanji" : たなかさんは勉強をして、りっぱないしゃになりました。

あのおおきいはしを（　　　）、みぎにまがってください。,わたって,あがって,あそんで,あるいて,"あのおおきいはしをわたって、みぎにまがってください。" : Please cross that big bridge and turn around.,"kanji" :あの大きな橋をわたって、みぎにまがってください。|"speech" : Ano ōkina hashi o watatte migi ni magatte kudasai.

