Words,Meanings,Characters,Spellings,Levels
毎朝,every morning,まいあさ,maiasa,5
問題,problem,もんだい,mondai,5
お茶,green tea,おちゃ,ocha,5
黒,black,くろ,kuro,5
台所,kitchen,だいどころ,daidokoro,5
葉書,postcard,はがき,hagaki,5
ペン,pen,,pen,5
ニュース,news,,nyūsu,5
花瓶,a vase,かびん,kabin,5
フォーク,fork,,fōku,5
引く,to pull,ひく,hiku,5
フィルム,roll of film,,firumu,5
磨く,"to brush teeth, to polish",みがく,migaku,5
押す,"to push, to stamp something",おす,osu,5
売る,to sell,うる,uru,5
電気,"electricity, electric light",でんき,denki,5
並ぶ,"to line up, to stand in a line",ならぶ,narabu,5
病気,illness,びょうき,byōki,5
ポケット,pocket,,poketto,5
頭,head,あたま,atama,5
はし,chopsticks,,hashi,5
英語,English language,えいご,eigo,5
家,house,いえ,ie,5
一月,one month,ひとつき,hitotsuki,5
暑い,hot,あつい,atsui,5
遊ぶ,"to play, to make a visit",あそぶ,asobu,5
取る,to take something,とる,toru,5
九,nine,きゅう / く,kyū / ku,5
閉める,to close something,しめる,shimeru,5
たいへん,very,,taihen,5
奥さん,(honorable) wife,おくさん,okusan,5
作文,"composition, writing",さくぶん,sakubun,5
便利,"useful, convenient",べんり,benri,5
右,right side,みぎ,migi,5
寒い,cold,さむい,samui,5
あびる,"to bathe, to shower",,abiru,5
十,ten,じゅう  とお,jū  tō,5
中,middle,なか,naka,5
消す,"to erase, to turn off power",けす,kesu,5
近く,near,ちかく,chikaku,5
七つ,seven,ななつ,nanatsu,5
テープレコーダー,tape recorder,,tēpurekōdā,5
目,eye,め,me,5
空,sky,そら,sora,5
六日,"six days, sixth day of the month",むいか,muika,5
座る,to sit,すわる,suwaru,5
年,year,とし,toshi,5
男の子,boy,おとこのこ,otokonoko,5
狭い,narrow,せまい,semai,5
冷蔵庫,refrigerator,れいぞうこ,reizōko,5
カメラ,camera,,kamera,5
玄関,entry hall,げんかん,genkan,5
違う,to differ,ちがう,chigau,5
危ない,dangerous,あぶない,abunai,5
分かる,to be understood,わかる,wakaru,5
言う,to say,いう,iu,5
飲む,to drink,のむ,nomu,5
練習,to practice,れんしゅうする,renshūsuru,5
何,what,なん / なに,nan / nani,5
厚い,"kind, deep, thick",あつい,atsui,5
毎月,every month,まいげつ / まいつき,maigetsu / maitsuki,5
閉まる,"to close, to be closed",しまる,shimaru,5
脱ぐ,to take off clothes,ぬぐ,nugu,5
黒い,black,くろい,kuroi,5
登る,to climb,のぼる,noboru,5
汚い,dirty,きたない,kitanai,5
雨,rain,あめ,ame,5
お皿,"plate, dish",おさら,osara,5
速い,quick,はやい,hayai,5
お風呂,bath,おふろ,ofuro,5
新しい,new,あたらしい,atarashii,5
